epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,16661.1,1.17136,0.85659,1.20115,0.79619,0.71382,0.78881,0.47361,1.28902,0.97571,1.24831,0.00273732,0.00273732,0.00273732
67,16913,1.17,0.84618,1.19427,0.79545,0.72082,0.79087,0.47433,1.28929,0.96943,1.24904,0.00259864,0.00259864,0.00259864
68,17165.7,1.1427,0.82116,1.18489,0.79788,0.71868,0.79218,0.47495,1.28864,0.96237,1.24884,0.00246234,0.00246234,0.00246234
69,17418,1.14158,0.82097,1.18462,0.7972,0.71758,0.7912,0.47447,1.28887,0.95477,1.25034,0.00232855,0.00232855,0.00232855
70,17669.9,1.13733,0.82148,1.17714,0.79304,0.72012,0.79137,0.47497,1.29005,0.94865,1.25125,0.00219739,0.00219739,0.00219739
71,17921.9,1.12979,0.80788,1.17499,0.79236,0.71935,0.79009,0.47516,1.28988,0.9432,1.25116,0.00206901,0.00206901,0.00206901
72,18173.9,1.1231,0.79948,1.17121,0.78697,0.72186,0.79135,0.47507,1.29115,0.93914,1.25265,0.00194353,0.00194353,0.00194353
73,18426.3,1.12187,0.79984,1.16987,0.78262,0.72287,0.7912,0.47453,1.29178,0.93526,1.25361,0.00182107,0.00182107,0.00182107
74,18678.7,1.12012,0.79366,1.17074,0.78652,0.72085,0.79112,0.4745,1.29194,0.93298,1.25411,0.00170175,0.00170175,0.00170175
75,18930.9,1.10883,0.78665,1.16393,0.7881,0.71911,0.79044,0.47527,1.29368,0.92795,1.25565,0.00158569,0.00158569,0.00158569
76,19183.3,1.10809,0.78171,1.16481,0.79055,0.71698,0.79128,0.47452,1.29473,0.92525,1.257,0.001473,0.001473,0.001473
77,19435.7,1.10083,0.77481,1.15885,0.79355,0.71645,0.79141,0.47454,1.29488,0.9257,1.25762,0.0013638,0.0013638,0.0013638
78,19688.2,1.09064,0.75928,1.15703,0.79597,0.71787,0.79164,0.47445,1.29565,0.9277,1.25812,0.0012582,0.0012582,0.0012582
79,19940.9,1.08942,0.76139,1.15239,0.79217,0.71965,0.79096,0.47486,1.29636,0.92627,1.25903,0.00115629,0.00115629,0.00115629
80,20193.5,1.08733,0.75251,1.14761,0.79632,0.71842,0.79169,0.47503,1.29674,0.92464,1.25909,0.00105818,0.00105818,0.00105818
81,20446.2,1.07982,0.75205,1.14921,0.79363,0.71747,0.78984,0.47505,1.29764,0.92365,1.26026,0.00096396,0.00096396,0.00096396
82,20698.6,1.07143,0.73481,1.14015,0.78866,0.72138,0.79098,0.47538,1.29831,0.92244,1.26111,0.000873733,0.000873733,0.000873733
83,20951.6,1.06819,0.74744,1.13905,0.78694,0.72363,0.79105,0.47536,1.29933,0.92347,1.26191,0.000787582,0.000787582,0.000787582
84,21204.3,1.06846,0.73685,1.14209,0.7916,0.72195,0.79103,0.47549,1.30059,0.92205,1.26262,0.000705594,0.000705594,0.000705594
85,21456.5,1.06249,0.73287,1.13515,0.79162,0.72076,0.79105,0.47547,1.30139,0.92263,1.2632,0.000627848,0.000627848,0.000627848
86,21708.7,1.05688,0.72626,1.13189,0.78972,0.7203,0.79017,0.47506,1.30163,0.92171,1.26372,0.000554422,0.000554422,0.000554422
87,21960.9,1.05162,0.72099,1.12594,0.78699,0.72154,0.78966,0.47446,1.30274,0.92181,1.26448,0.000485389,0.000485389,0.000485389
88,22213.1,1.05129,0.71302,1.12994,0.79026,0.71925,0.78936,0.47467,1.30319,0.92119,1.26489,0.000420816,0.000420816,0.000420816
